id,total_xp,created_at,updated_at
63fa35c2-809e-42f5-9cb0-fd52c264a318,0,2025-06-29 15:16:22.046532,2025-06-29 15:16:22.046533
49869649-8675-4ae4-8266-fa630f31f7a4,0,2025-06-29 15:16:22.046541,2025-06-29 15:16:22.046541
6bbcdd2f-34c1-4467-b7c0-f2f10e69ec31,0,2025-06-29 15:16:22.046557,2025-06-29 15:16:22.046557
dc7c4411-4a2e-4be2-9f74-53ef35e99edf,0,2025-06-29 15:16:22.046564,2025-06-29 15:16:22.046564
5a4de605-9b83-417e-a1f0-af7aae947e7e,0,2025-06-29 15:16:22.046571,2025-06-29 15:16:22.046571
70b69cb9-72c7-4b25-b644-16b850691e95,0,2025-06-29 15:16:22.046578,2025-06-29 15:16:22.046578
bc6ed51f-009c-4e03-a134-0674bd77c9d0,0,2025-06-29 15:16:22.046586,2025-06-29 15:16:22.046586
060b926a-5c47-49d2-babc-5bf42d76c846,0,2025-06-29 15:16:22.046595,2025-06-29 15:16:22.046596
3c82f97f-d8ab-486f-bb54-f670fed1e92d,0,2025-06-29 15:16:22.046604,2025-06-29 15:16:22.046604
4ba22b77-2f43-4a38-9152-64e429b7e793,0,2025-06-29 15:16:22.046611,2025-06-29 15:16:22.046612
